"charger_station","location","approx_coordinates","objectid"
"Recharge HDV Preem Markaryd","Ulvarydsvägen 1, 28535 Markaryd","56°26'43.7""N 13°36'13.5""E","441"
"Scania Sverige Lund","Höjebro, Malmövägen 77, 22270 Lund","55°40'56.1""N 13°11'15.3""E","658"
"Preem Ystad Hamn Truck","Bornholmsgatan 11B, 27139 Ystad","55°25'24.0""N 13°50'10.9""E","89"
"Helsingborg VTC Safe Park | GITO","Trintegatan 2, 25368 Helsingborg","56°1'9.0""N 12°45'54.2""E","375"
"Helsingborg VTC | GITO","Trintegatan 2, 25368 Helsingborg","56°1'9.6""N 12°45'57.2""E","375"
"Preem Hörnefors","Hörneå 7, 90572 Hörnefors","63°37'46.1""N 19°52'34.9""E","139"
"Hultsfred","Framtidsvägen 14, 57739 Hultsfred","57°29'57.1""N 15°50'0.0""E","560"
"Preem Ödeshög Truck","Lievägen 2, 59931 Ödeshög","58°13'56.8""N 14°40'19.3""E","579"
"Circle K Gävle Bro Trucks","Gävle Bro, 80591 Gävle","60°38'58.1""N 17°7'10.6""E","81"
"Circle K Mantorp Trucks","Uljebergsvägen 2, 59597 Mantorp","58°22'21.4""N 15°17'41.6""E","75"
"Circle K Växjö Evedal Trucks","Älgvägen 1A, 35245 Växjö","56°54'15.2""N 14°49'23.7""E","525"
"Circle K EV Truck Arvidsjaur","Storgatan 46, 93333 Arvidsjaur","65°35'15.1""N 19°11'23.9""E","52"
"Circle K Hudiksvall E4 Trucks","Utängsvägen 4, 82434 Hudiksvall","61°44'34.7""N 17°4'44.3""E","82"
"Circle K Stora Höga Spekeröd E6 Trucks","Jörlanda Berg 302, 44493 Spekeröd","58°1'29.8""N 11°50'54.0""E","436"
"Circle K Flädie Trucks","Fjellbovägen 2, 23791 Bjärred","55°43'22.8""N 13°5'15.3""E","91"
"Circle K Bollebygd Trucks","Rävlandavägen 22A, 51791 Bollebygd","57°39'46.8""N 12°32'31.2""E","71"
"Circle K Kumla Brändåsen Trucks","Brändåsen 216, 69293 Kumla","59°3'49.4""N 15°0'13.7""E","78"
"Circle K Kiruna Södra Trucks","Industrivägen 17, 98138 Kiruna","67°50'53.1""N 20°16'32.0""E","64"
